"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","selling fees","fba fees","other transaction fees","other","total"
"2016-01-02 4:56:04 AM PST","6027665951","Order","701-1116921-1839446","73CA-7252FM01-540","MelodySusie 540 Needle Micro Derma Skin Roller Acne Scars,Stretch Marks,Wrinkles, Reduces cellulite, Safe, Convenient, Simple Operation,Size 2.5mm","1","amazon.ca","Amazon","Trenton","Ontario","K8V 1E2","12.99","0","0","0","0","-1.95","-5.99","0","0","5.05"
"2016-01-02 10:32:02 AM PST","6027665951","Order","701-5299623-7176258","73CA-7210FC01-540","MelodySusie® 540 Needles 1.0mm Derma Roller Medical Grade Stainless Steel Derma Roller System for Wrinkles, Scars, Acne and Cellulite Treatment More E","2","amazon.ca","Amazon","Perth-Andover","New Brunswick","E7H 2W9","31.98","0","0","0","0","-4.80","-7.74","0","0","19.44"
"2016-01-02 3:29:59 PM PST","6027665951","Refund","701-2289545-4293046","89CA-2000FC01-100","Guyot Designs SplashGuard-Universal (Black)","1","amazon.ca","Amazon","Calgary","Alberta","T3G6B2","-7.99","0","0","0","0","0.96","0","0","0","-7.03"
"2016-01-02 3:30:29 PM PST","6027665951","Order","701-6036037-3120215","88CA-4012FC01-500","MIU COLOR® Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","1","amazon.ca","Amazon","Grande Prairie","Alberta","T8V 1J9","54.99","0","0","0","0","-4.40","-5.57","0","0","45.02"
"2016-01-02 5:28:38 PM PST","6027665951","Order","701-8943696-4499402","89CA-2000FC01-200","Guyot Designs SplashGuard-Universal (Blue)","1","amazon.ca","Amazon","Strathclair","Manitoba","R0J 2C0","10.99","0","0","0","0","-1.65","-3.63","0","0","5.71"
"2016-01-02 7:59:23 PM PST","6027665951","Order","702-4357341-7145027","88CA-4012FC01-500","MIU COLOR® Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","1","amazon.ca","Amazon","Wolseley","Saskatchewan","S0G 5H0","54.99","0","0","0","0","-4.40","-5.57","0","0","45.02"
"2016-01-03 1:08:09 AM PST","6027665951","Order","702-8570450-8638606","88FA-4012FC02-012","MIU COLOR® 100ml Color Changing Aroma Diffuser Ultrasonic Humidifier","1","amazon.ca","Amazon","Coquitlam","BC","V3B 3H7","38.99","1.51","0","0","0","-3.12","-7.16","0","0","30.22"
"2016-01-03 12:40:36 PM PST","6027665951","Order","702-6259171-7422655","88CA-4012FC01-500","MIU COLOR® Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","1","amazon.ca","Amazon","Yellowknife","Northwest Territories","X1A 3P6","54.99","0","0","0","0","-4.40","-5.57","0","0","45.02"
"2016-01-03 12:45:59 PM PST","6027665951","Order","702-4158813-5365808","73CA-7210FC01-540","MelodySusie® 540 Needles 1.0mm Derma Roller Medical Grade Stainless Steel Derma Roller System for Wrinkles, Scars, Acne and Cellulite Treatment More E","1","amazon.ca","Amazon","Chateauguay","QC","J6J 1M4","15.99","0","0","0","0","-2.40","-5.99","0","0","7.60"
"2016-01-03 12:46:29 PM PST","6027665951","Order","701-4501410-7036228","88CA-4012FC01-500","MIU COLOR® Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","2","amazon.ca","Amazon","Pembroke","Ontario","K8A 2B7","109.98","0","0","0","0","-8.80","-7.74","0","0","93.44"
"2016-01-03 2:08:45 PM PST","6027665951","Order","701-4391468-9741009","89CA-2000FC01-200","Guyot Designs SplashGuard-Universal (Blue)","1","amazon.ca","Amazon","Calgary","Alberta","T3G6B2","10.99","0","0","0","0","-1.65","-3.63","0","0","5.71"
"2016-01-03 6:17:54 PM PST","6027665951","Order","702-5194058-2454601","88CA-4012FC01-500","MIU COLOR® Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","1","amazon.ca","Amazon","Grassy Lake","Alberta","T0K 0Z0","54.99","0","0","0","0","-4.40","-5.57","0","0","45.02"
"2016-01-04 10:25:29 AM PST","6035267921","Order","702-6587344-6838661","57CA-7212FC01-433","MelodySusie&reg; New Fashion Fluffy Fancy Long Full Wig Hair Curl Wigs+MelodySusie&reg; wig cap black +MelodySusie&reg; wig comb purple","1","amazon.ca","Amazon","Toronto","Ontario","M5J 3A1","21.99","0","0","0","0","-3.30","-6.41","0","0","12.28"
"2016-01-04 12:25:13 PM PST","6035267921","FBA Inventory Fee","xfcf3FC389","","FBA Removal Order: Disposal Fee","","Amazon.ca","","","","","0","0","0","0","0","0","0","0","-0.68","-0.68"
"2016-01-04 2:08:19 PM PST","6035267921","Order","701-2159875-6329839","86CA-0821FM01-003","MIU Color Foldable Durable Eco Oxford Cloth Closet Organizers with Cover 3 Set, 12.2"" x 9.8"" x 4.9"" Blue","1","amazon.ca","Amazon","Winnipeg","Manitoba","R3C 1N1","26.99","0","0","0","0","-4.05","-7.65","0","0","15.29"
"2016-01-04 2:57:55 PM PST","6035267921","Order","702-9747290-9551435","88FA-4012FC02-012","MIU COLOR® 100ml Color Changing Aroma Diffuser Ultrasonic Humidifier","1","amazon.ca","Amazon","Nepean","Ontario","K2J 4W5","38.99","0","0","0","0","-3.12","-5.99","0","0","29.88"
"2016-01-04 3:39:31 PM PST","6035267921","Order","702-9440285-4961825","88CA-4012FC01-500","MIU COLOR? Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","1","amazon.ca","Amazon","mississauga","ontario","L5B 0E8","54.99","0","0","0","0","-4.40","-5.99","0","0","44.60"
"2016-01-04 3:41:15 PM PST","6035267921","Order","701-3915117-1281829","35CA-0020FM01-001","LOFTEK® Waterproof Heat-insulated Starry String LED Lights - 2m/6.6ft 20 micro LEDs, High quality flexible Copper Wire. - Perfect Choice for Christmas","1","amazon.ca","Amazon","ajax","Ontario","L1S 2N9","12.99","0","0","0","0","-1.95","-5.99","0","0","5.05"
"2016-01-05 12:50:31 AM PST","6035267921","Order","702-7260310-2728265","35CA-0020FM01-001","LOFTEK® Waterproof Heat-insulated Starry String LED Lights - 2m/6.6ft 20 micro LEDs, High quality flexible Copper Wire. - Perfect Choice for Christmas","1","amazon.ca","Amazon","Sudbury","Ontario","P3A 4A3","12.99","0","0","0","0","-1.95","-5.99","0","0","5.05"
"2016-01-05 10:00:41 AM PST","6035267921","Transfer","","","To account ending with: 1971","","","","","","","0","0","0","0","0","0","0","0","-1,282.61","-1,282.61"
"2016-01-05 1:36:25 PM PST","6035267921","Order","701-1552835-5931455","73CA-7219FC01-100","MelodySusie® 192 Needles 1.0mm Microneedle Skin Care Therapy System Derma Roller with Medical Grade Stainless Steel for Skin Rejuvenation New SPA Stre","1","amazon.ca","Amazon","LAVAL","Quebec","H7T-1S4","14.99","4.26","0","0","0","-2.25","-10.80","0","0","6.20"
"2016-01-05 6:12:31 PM PST","6035267921","Order","701-1791603-7913832","73CA-7210FC01-540","MelodySusie® 540 Needles 1.0mm Derma Roller Medical Grade Stainless Steel Derma Roller System for Wrinkles, Scars, Acne and Cellulite Treatment More E","1","amazon.ca","Amazon","Montreal","Quebec","H4E 1Z5","15.99","2.01","0","0","0","-2.40","-7.68","0","0","7.92"
"2016-01-05 6:36:16 PM PST","6035267921","Order","701-8823651-7173061","89FA-0000LC01-001","*NEW ARRIVAL PROMOTION* MIU COLOR® Stainless Steel Soup Spoons, Set Of 8","1","amazon.ca","Seller","Thorold","Ontario","L2V 4P9","22.99","0","0","0","0","-3.45","0","0","0","19.54"
"2016-01-06 9:40:25 AM PST","6035267921","Refund","702-4247131-9858657","66CA-0021HK04-609","Intimate Melody Safe Rubber Vibe with Multi-Mode Speed, Heating, Rechargebale","1","amazon.ca","Seller","Vancouver","British Columbia","V6L 2A1","-50.99","0","0","0","0","6.12","0","0","0","-44.87"
"2016-01-06 10:02:42 AM PST","6035267921","Order","701-1791603-7913832","73CA-7205FC01-640","MelodySusie® 540 Needles 0.5mm Derma Roller Medical Grade Stainless Steel Derma Roller System for Wrinkles, Scars, Acne, Cellulite Treatment More Effe","1","amazon.ca","Amazon","Montreal","Quebec","H4E 1Z5","15.99","2.01","0","0","0","-2.40","-8.26","0","0","7.34"
"2016-01-06 3:43:22 PM PST","6035267921","Order","702-1728541-8205845","88CA-4012FC01-500","MIU COLOR® Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","1","amazon.ca","Amazon","New Liskeard","Ontario","P0J 1P0","54.99","0","0","0","0","-4.40","-5.57","0","0","45.02"
"2016-01-06 3:43:54 PM PST","6035267921","Order","701-6387812-6667415","57CA-7278FC01-423","MelodySusie&reg; Elegant Vogue Dark Brown Long Curled Wig Hair+MelodySusie&reg; wig hair cap+MelodySusie&reg; wig hair comb","1","amazon.ca","Amazon","Cranbrook","British Columbia","V1C 5R9","22.99","0","0","0","0","-3.45","-5.99","0","0","13.55"
"2016-01-06 3:44:12 PM PST","6035267921","Order","702-3919267-4401027","73CA-7205FC01-640","MelodySusie® 540 Needles 0.5mm Derma Roller Medical Grade Stainless Steel Derma Roller System for Wrinkles, Scars, Acne, Cellulite Treatment More Effe","1","amazon.ca","Amazon","Edmonton","AB","T6W0N5","15.99","0","0","0","0","-2.40","-5.99","0","0","7.60"
"2016-01-06 5:38:41 PM PST","6035267921","Order","701-4463649-0441009","88CA-4012FC01-500","MIU COLOR® Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","1","amazon.ca","Amazon","Burnaby","British Columbia","V5H 2S1","54.99","0","0","0","0","-4.40","-5.57","0","0","45.02"
"2016-01-06 6:23:41 PM PST","6035267921","Order","702-5127550-7069050","66CA-0023FM01-605120402","Intimate Melody? LAVA 3 in 1 G Spot Vibrator, 2 Massager and 1 Silicone Bullet with Heating Function - 7 Stimulation Modes Dildo Best Adult Toy for Me","1","amazon.ca","Seller","Agassiz","British Columbia","V0M 1A1","89.99","19.98","0","0","0","-16.50","0","0","0","93.47"
"2016-01-06 6:24:07 PM PST","6035267921","Order","702-3855395-6929016","66CA-0008HK01-603","Kegel Exercise Balls Weighted Vibration Exercises Koro Beads for Female with An Elegant Pouch","1","amazon.ca","Seller","Chilliwack","BC","V2P 7W9","25.99","0","0","0","0","-3.90","0","0","0","22.09"
"2016-01-06 6:25:27 PM PST","6035267921","Order","702-9278531-4834631","66CA-0008LM22-603","2-Pack IM Kegel Exercise Balls Koro Beads for Female - Comfortable Safe Duotone Silicone Bladder Control Devices Ben Wa Balls - Vaginal Dumbell Exerci","1","amazon.ca","Seller","Creston","BC","V0B 1G0","45.99","0","0","0","0","-6.90","0","0","0","39.09"
"2016-01-06 7:59:43 PM PST","6035267921","FBA Inventory Fee","","","FBA Inventory Storage Fee","","Amazon.ca","","","","","0","0","0","0","0","0","0","0","-26.20","-26.20"
"2016-01-07 1:10:47 AM PST","6035267921","Order","702-1643579-3694655","88CA-4012FC01-500","MIU COLOR® Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","1","amazon.ca","Amazon","St. John's","NL","A1E 5L2","54.99","0","0","0","0","-4.40","-5.57","0","0","45.02"
"2016-01-07 2:31:14 AM PST","6035267921","Order","701-4621285-9577825","88CA-4012FC01-500","MIU COLOR® Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","1","amazon.ca","Amazon","Mississauga","Ontario","L5R 3K8","54.99","0","0","0","0","-4.40","-5.99","0","0","44.60"
"2016-01-07 3:47:52 PM PST","6035267921","Order","702-3419995-6178653","88CA-4012FC01-500","MIU COLOR® Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","1","amazon.ca","Amazon","Montréal","Quebec","H1A5P7","54.99","0","0","0","0","-4.40","-5.99","0","0","44.60"
"2016-01-07 4:26:03 PM PST","6035267921","FBA Inventory Fee","xfcm3xe331","","FBA Removal Order: Disposal Fee","","Amazon.ca","","","","","0","0","0","0","0","0","0","0","-0.17","-0.17"
"2016-01-07 5:58:47 PM PST","6035267921","Order","702-1189246-4166630","88CA-4012FC01-500","MIU COLOR® Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","1","amazon.ca","Amazon","Montreal","Quebec","H3H 2N7","54.99","0","0","0","0","-4.40","-5.99","0","0","44.60"
"2016-01-07 9:21:34 PM PST","6035267921","Order","701-4048360-1754667","34CA-3333LC02-002","LOFTEK&reg; Ultra Mini Super Speed USB 3.0 4-Port Compact Hub with a Built-in 1ft USB 3.0 Cable, with Power Switches and LEDs. Black","1","amazon.ca","Seller","Montreal","Quebec","H3N2V2","14.99","0","0","0","0","-2.25","0","0","0","12.74"
"2016-01-08 11:34:38 AM PST","6035267921","Order","S01-9877226-5258145","34CA-3333FC02-002","LOFTEK® Super Speed USB 3.0 4-Port Compact Hub with a Built-in 1ft USB 3.0 Cable, with Power Switches and LEDs. Black","1","siprod.stores.amazon.ca","Amazon","Montreal","QC","H3N2V2","0","0","0","0","0","0","-3.56","0","0","-3.56"
"2016-01-08 11:34:38 AM PST","6035267921","Order","S01-9877226-5258145","","FBA transportation fee","","siprod.stores.amazon.ca","Amazon","Montreal","QC","H3N2V2","0","0","0","0","0","0","0","0","-5.09","-5.09"
"2016-01-08 3:12:03 PM PST","6035267921","Order","702-8795309-0497865","73CA-7205FC01-640","MelodySusie® 540 Needles 0.5mm Derma Roller Medical Grade Stainless Steel Derma Roller System for Wrinkles, Scars, Acne, Cellulite Treatment More Effe","1","amazon.ca","Amazon","Surrey","British Columbia","V3W 1G9","15.99","0","0","0","0","-2.40","-5.99","0","0","7.60"
"2016-01-08 4:27:02 PM PST","6035267921","FBA Inventory Fee","xfct3AJ290","","FBA Removal Order: Disposal Fee","","Amazon.ca","","","","","0","0","0","0","0","0","0","0","-0.17","-0.17"
"2016-01-08 6:11:20 PM PST","6035267921","Order","701-0993863-4186654","88CA-4012FC01-500","MIU COLOR® Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","1","amazon.ca","Amazon","Edmonton","Alberta","T5K 1M1","54.99","0","0","0","0","-4.40","-5.57","0","0","45.02"
"2016-01-09 11:34:32 AM PST","6035267921","Order","701-3025089-4458665","88CA-4012FC01-500","MIU COLOR® Aroma Diffuser Ultrasonic Humidifier LED Color Changing Lamp Light Ionizer(Water tank capacity: 500ml)","1","amazon.ca","Amazon","North York","Ontario","M2N 0A2","54.99","0","0","0","0","-4.40","-5.99","0","0","44.60"
"2016-01-09 3:42:36 PM PST","6035267921","FBA Inventory Fee","KSCA160104","","FBA Removal Order: Return Fee","","Amazon.ca","","","","","0","0","0","0","0","0","0","0","-0.57","-0.57"
"2016-01-10 5:54:31 AM PST","6035267921","Order","702-5472324-2106600","35CA-0020FM01-001","LOFTEK® Waterproof Heat-insulated Starry String LED Lights - 2m/6.6ft 20 micro LEDs, High quality flexible Copper Wire. - Perfect Choice for Christmas","1","amazon.ca","Amazon","pointe claire","QC","H9S5V3","12.99","2.14","0","0","0","-3.90","-8.72","0","0","2.51"
"2016-01-10 5:54:31 AM PST","6035267921","Order","702-5472324-2106600","35CA-0020FM01-001","LOFTEK® Waterproof Heat-insulated Starry String LED Lights - 2m/6.6ft 20 micro LEDs, High quality flexible Copper Wire. - Perfect Choice for Christmas","1","amazon.ca","Amazon","pointe claire","QC","H9S5V3","12.99","2.15","0","0","0","0","-3.86","0","0","11.28"
"2016-01-10 5:54:55 AM PST","6035267921","Order","702-3035439-0531427","88FA-4012FC02-012","MIU COLOR® 100ml Color Changing Aroma Diffuser Ultrasonic Humidifier","1","amazon.ca","Amazon","Selwyn","Ontario","K9J 6X5","38.99","2.08","0","0","0","-3.12","-8.34","0","0","29.61"
