"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","selling fees","fba fees","other transaction fees","other","total"
"2017-12-02 6:54:31 PM PST","6504942301","Order","702-7413885-5848245","02-24CA-011-010628FBA01","Intimate Melody® Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, Bes","1","amazon.ca","Amazon","Edmonton","AB","T5T 5C6","24.99","2.85","0","0","0","-3.75","-8.87","0","0","15.22"
"2017-12-04 2:04:34 AM PST","6504942301","Order","702-7440695-6993806","02-25FM-065CA-110203FBM04","Intimate Melody® Black Under the Bed Restraint with 4 Cuffs, Lovely Present for Couple ,Add More Fun to Sex Life ,Keep Order in Private Package","1","amazon.ca","Seller","Aurora","Ontario","L4G 7R7","25.99","0","0","0","0","-3.90","0","0","0","22.09"
"2017-12-04 2:04:48 AM PST","6504942301","Order","701-6815453-5309060","02-25FM-065CA-110611FBM01","Intimate Melody 10 Pcs/Pack Velvet Lining S M Kit Erotic Lady Toys Night Sex Fetish Couples Tools Set","1","amazon.ca","Seller","Baie-D'Urfe","Quebec","H9X 2L7","35.99","0","0","0","0","-5.40","0","0","0","30.59"
"2017-12-04 2:18:52 AM PST","6504942301","Order","702-5066071-6872267","02-23CA-011-010617FBM08","Intimate Melody® Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Scarborough","Ontario","M1J 0A8","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2017-12-04 2:06:02 PM PST","6516605641","Order","701-9368240-6171415","02-24CA-011-010628FBA01","Intimate Melody® Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, Bes","1","amazon.ca","Amazon","Calgary","Alberta","T3H 3N4","24.99","0","0","0","0","-3.75","-5.88","0","0","15.36"
"2017-12-05 1:44:24 AM PST","6516605641","Order","702-9275057-3570635","02-25FM-065CA-110203FBM04","Intimate Melody® Black Under the Bed Restraint with 4 Cuffs, Lovely Present for Couple ,Add More Fun to Sex Life ,Keep Order in Private Package","1","amazon.ca","Seller","georgetown","ontario","L7G 4P9","25.99","19.98","0","0","0","-6.90","0","0","0","39.07"
"2017-12-05 4:30:57 AM PST","6516605641","Order","701-3000224-1032256","02-25FM-065CA-110203FBM04","Intimate Melody® Black Under the Bed Restraint with 4 Cuffs, Lovely Present for Couple ,Add More Fun to Sex Life ,Keep Order in Private Package","1","amazon.ca","Seller","Vancouver","British Columbia","V5Z 1T1","25.99","0","0","0","0","-3.90","0","0","0","22.09"
"2017-12-05 6:00:14 PM PST","6516605641","Transfer","","","To account ending with: 1971","","","","","","","0","0","0","0","0","0","0","0","-445.79","-445.79"
"2017-12-06 7:58:09 PM PST","6516605641","Order","702-5606488-8681815","02-25FM-065CA-110203FBM04","Intimate Melody® Black Under the Bed Restraint with 4 Cuffs, Lovely Present for Couple ,Add More Fun to Sex Life ,Keep Order in Private Package","1","amazon.ca","Seller","New Victoria","Nova Scotia","B1H 0A8","25.99","0","0","0","0","-3.90","0","0","0","22.09"
"2017-12-07 4:09:16 PM PST","6516605641","Order","701-7939287-7885834","02-24CA-011-010628FBA01","Intimate Melody® Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, Bes","1","amazon.ca","Amazon","Tillsonburg","Ontario","N4G 4V9","24.99","0","0","0","0","-3.75","-6.33","0","0","14.91"
"2017-12-07 6:33:29 PM PST","6516605641","FBA Inventory Fee","","","FBA Inventory Storage Fee","","Amazon.ca","","","","","0","0","0","0","0","0","0","0","-3.40","-3.40"
"2017-12-07 6:48:00 PM PST","6516605641","Order","701-8925220-6471440","02-25FM-065CA-110203FBM04","Intimate Melody® Black Under the Bed Restraint with 4 Cuffs, Lovely Present for Couple ,Add More Fun to Sex Life ,Keep Order in Private Package","1","amazon.ca","Seller","Torbay","NL","A1K 1A7","25.99","0","0","0","0","-3.90","0","0","0","22.09"
"2017-12-08 7:24:31 AM PST","6516605641","Order","701-6339215-0505811","02-24CA-011-010628FBA01","Intimate Melody® Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, Bes","1","amazon.ca","Amazon","Edmonton","AB","T5T 0Z6","24.99","2.15","0","-2.15","0","-3.75","-5.88","0","0","15.36"
"2017-12-13 10:01:06 PM PST","6516605641","Order","702-6923271-0149867","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Victoria","British Columbia","V9B 6R6","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2017-12-13 10:02:22 PM PST","6516605641","Order","701-2342972-9492245","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Ottawa","Ontario","K1H 6M1","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2017-12-14 3:09:53 AM PST","6516605641","Order","702-7700196-0505054","02-24CA-011-010628FBA01","Intimate Melody® Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, Bes","1","amazon.ca","Amazon","Kelowna","British Columbia","V1V 1S2","24.99","0","0","0","0","-3.75","-5.88","0","0","15.36"
"2017-12-16 1:31:23 AM PST","6516605641","Order","701-2993148-5537005","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Martintown","Ontario","K0C1S0","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2017-12-17 7:44:15 PM PST","6516605641","Service Fee","","","SellerPayments_Report_Fee_Subscription","","Amazon.ca","","","","","0","0","0","0","0","0","0","0","-29.99","-29.99"
"2017-12-18 5:49:24 PM PST","6529115921","Order","701-5195363-5781811","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Lasalle","Quebec","H8R 3W9","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2017-12-19 3:03:50 AM PST","6529115921","Order","701-8857186-3067437","02-24CA-011-010628FBA01","Intimate Melody® Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, Bes","1","amazon.ca","Amazon","Ottawa","Ontario","K2G 2J2","24.99","0","0","0","0","-3.75","-6.33","0","0","14.91"
"2017-12-19 10:21:29 AM PST","6529115921","Order","701-8786464-7857820","02-24CA-011-010628FBA01","Intimate Melody® Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, Bes","1","amazon.ca","Amazon","Toronto","Ontario","M5G 2J9","24.99","5.98","0","0","0","-3.75","-13.09","0","0","14.13"
"2017-12-19 9:47:04 PM PST","6529115921","Transfer","","","To account ending with: 1971","","","","","","","0","0","0","0","0","0","0","0","-234.91","-234.91"
"2017-12-26 8:25:07 PM PST","6529115921","Order","701-2179533-1427465","02-25FM-065CA-110611FBM01","Intimate Melody 10 Pcs/Pack Velvet Lining S M Kit Erotic Lady Toys Night Sex Fetish Couples Tools Set","1","amazon.ca","Seller","LANGLEY","British Columbia","V1M 0E3","35.99","0","0","0","0","-5.40","0","0","0","30.59"
"2017-12-27 5:41:42 PM PST","6529115921","Order","702-1421115-9006607","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Cobourg","Ontario","K9A 2B6","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2017-12-28 2:35:39 AM PST","6529115921","Order","701-6083789-5793018","02-23CA-011-010617FBM08","Intimate Melody® Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Elliot Lake","Ontario","P5A 2W1","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2017-12-28 5:35:57 PM PST","6529115921","Order","701-6713978-6125808","02-24CA-011-010628FBA01","Intimate Melody® Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, Bes","1","amazon.ca","Amazon","Richmond","BC","V7E 2G3","24.99","0","0","0","0","-3.75","-5.88","0","0","15.36"
