"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","selling fees","fba fees","other transaction fees","other","total"
"2018-02-06 2:31:56 AM PST","6566003831","Order","701-2284342-6221047","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Cote-Saint-Luc","Quebec","H4V 2Z6","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2018-02-07 10:42:08 AM PST","6566003831","Order","701-4577258-4988252","66FM-0033FBA03CA-605888C","Intimate Melody® LANA 3 In 1 Silicone Bullets Waterproof 7 Modes Vibrating Egg with 3 Different Shapes G-spot Clit Stimulator Massager Love Eggs Sex","1","amazon.ca","Amazon","Winnipeg","Manitoba","R3M 1N1","29.99","0","0","0","0","-4.50","-6.78","0","0","18.71"
"2018-02-07 7:53:16 PM PST","6566003831","FBA Inventory Fee","","","FBA Inventory Storage Fee","","Amazon.ca","","","","","0","0","0","0","0","0","0","0","-2.04","-2.04"
"2018-02-08 2:46:21 PM PST","6566003831","Order","701-6616900-4524256","02-25CA-011-011200FBA05","Intimate Melody Kegel Exercise Weights - Ben Wa Ball Weights, Bladder Control & Pelvic Floor Exercises with Medical Silicone for Women","1","amazon.ca","Amazon","Grand Falls-Windsor","Newfoundland","A2B 1B4","13.99","2.74","0","-2.74","0","-2.10","-6.33","0","0","5.56"
"2018-02-08 6:20:00 PM PST","6566003831","Order","701-9142378-6464264","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Coalhurst","Alberta","T0L 0V0","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2018-02-09 11:48:04 AM PST","6566003831","Order","701-8904434-5639440","02-24CA-011-010628FBA01","Intimate Melody®NINA Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises","1","amazon.ca","Amazon","Lethbridge","Newfoundland","A0C1V0","20.99","3.00","0","0","0","-3.15","-9.72","0","0","11.12"
"2018-02-12 1:20:33 AM PST","6566003831","Order","702-0055965-5909846","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","St John's","NL","A1E 4B8","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2018-02-12 3:24:23 PM PST","6578335391","Order","702-5407380-9264223","02-25CA-011-011200FBA05","Intimate Melody Kegel Exercise Weights - Ben Wa Ball Weights, Bladder Control & Pelvic Floor Exercises with Medical Silicone for Women","1","amazon.ca","Amazon","port moody","British Columbia","V3H1E5","13.99","3.92","0","-3.92","0","-2.10","-6.33","0","0","5.56"
"2018-02-13 5:15:35 PM PST","6578335391","Transfer","","","To account ending with: 1971","","","","","","","0","0","0","0","0","0","0","0","-221.30","-221.30"
"2018-02-14 5:53:12 PM PST","6578335391","Order","701-6140332-2197822","02-24CA-011-010628FBA01","Intimate Melody®NINA Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises","1","amazon.ca","Amazon","Calgary","Alberta","T2P 2B5","20.99","0","0","0","0","-3.15","-5.88","0","0","11.96"
"2018-02-17 10:45:57 PM PST","6578335391","Service Fee","","","SellerPayments_Report_Fee_Subscription","","Amazon.ca","","","","","0","0","0","0","0","0","0","0","-29.99","-29.99"
