"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","selling fees","fba fees","other transaction fees","other","total"
"2018-01-01 9:57:30 PM PST","6540792571","Refund","702-1421115-9006607","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Cobourg","Ontario","K9A 2B6","-39.99","0","0","0","0","4.80","0","0","0","-35.19"
"2018-01-03 2:55:01 AM PST","6540792571","Order","701-6936024-2797858","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Toronto","Ontario","M6G 3T3","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2018-01-03 3:17:00 AM PST","6540792571","Transfer","","","To account ending with: 1971","","","","","","","0","0","0","0","0","0","0","0","-176.96","-176.96"
"2018-01-04 6:59:53 PM PST","6540792571","Order","701-1146296-1246624","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Prince Rupert","British Columbia","V8J 4P9","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2018-01-05 11:08:04 PM PST","6540792571","Order","701-9059961-0884231","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Port Colborne","Ontario","L3K 4L4","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2018-01-05 11:08:36 PM PST","6540792571","Order","701-8044772-7716210","02-25FM-065CA-110203FBM04","Intimate Melody Black Under the Bed Restraint with 4 Cuffs, Lovely Present for Couple ,Add More Fun to Sex Life ,Keep Order in Private Package","1","amazon.ca","Seller","Vancouver","British Columbia","V7X1A0","38.99","0","0","0","0","-5.85","0","0","0","33.14"
"2018-01-07 6:32:04 PM PST","6540792571","Order","702-6649659-7055421","02-23CA-011-010617FBM08","Intimate Melody® Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Vaughan","Ontario","L4J 3B8","59.99","0","0","0","0","-9.00","0","0","0","50.99"
"2018-01-09 12:00:58 PM PST","6540792571","FBA Inventory Fee","","","FBA Inventory Storage Fee","","Amazon.ca","","","","","0","0","0","0","0","0","0","0","-3.03","-3.03"
"2018-01-09 5:39:18 PM PST","6540792571","Order","701-7394525-6294656","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Vaudreuil-Dorion","Quebec","J7V 7N9","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2018-01-15 7:47:19 PM PST","6553381261","Order","701-8099737-2938621","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Montreal","Quebec","H4E 2E6","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2018-01-16 5:15:33 PM PST","6553381261","Transfer","","","To account ending with: 1971","","","","","","","0","0","0","0","0","0","0","0","-181.87","-181.87"
"2018-01-17 10:41:48 PM PST","6553381261","Service Fee","","","SellerPayments_Report_Fee_Subscription","","Amazon.ca","","","","","0","0","0","0","0","0","0","0","-29.99","-29.99"
"2018-01-20 2:20:39 AM PST","6553381261","Order","701-9736238-7944232","02-25CA-011-011200FBA05","Intimate Melody Kegel Exercise Weights - Ben Wa Ball Weights, Bladder Control & Pelvic Floor Exercises with Medical Silicone for Women","1","amazon.ca","Amazon","Levis","Quebec","G6Z 2H6","13.99","0","0","0","0","-2.10","-6.33","0","0","5.56"
"2018-01-22 2:52:58 PM PST","6553381261","Order","702-7300138-6261033","02-24CA-011-010628FBA01","Intimate Melody®NINA Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises,","1","amazon.ca","Amazon","Kentville","Nova Scotia","B4N1P2","20.99","0","0","0","0","-3.15","-6.33","0","0","11.51"
"2018-01-23 6:26:09 PM PST","6553381261","Order","701-7505964-1445008","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Dartmouth","Nova Scotia","B2X 2R5","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2018-01-25 6:48:50 PM PST","6553381261","Order","701-2200970-9776232","02-23CA-011-010617FBM001C","Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator","1","amazon.ca","Seller","Saint-Laurent","QC","H4R 0A4","39.99","0","0","0","0","-6.00","0","0","0","33.99"
"2018-01-26 6:50:00 PM PST","6553381261","Order","701-6714043-3226600","02-25CA-011-011200FBA05","Intimate Melody Kegel Exercise Weights - Ben Wa Ball Weights, Bladder Control & Pelvic Floor Exercises with Medical Silicone for Women","1","amazon.ca","Amazon","Montreal","Quebec","H2M 1N3","13.99","0","0","0","0","-2.10","-6.33","0","0","5.56"
