amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
701-3823191-4759407	701-3823191-4759407	2018-02-28T04:33:09+00:00	2018-02-28T20:03:40+00:00	Shipped	Amazon	Amazon.ca			Standard	Intimate Melody Kegel Exercise Weights - Ben Wa Ball Weights, Bladder Control & Pelvic Floor Exercises with Medical Silicone for Women	02-25CA-011-011200FBA05	B06XD7YNWJ	Shipped	1	CAD	13.99		3.27					3.27	VANCOUVER	BC	V5T 1W0	CA	CA Core Free Shipping 2016/03/16 6-42-44-87
701-9301429-8009861		2018-02-28T03:37:17+00:00	2018-02-28T03:47:21+00:00	Cancelled	Merchant	Amazon.ca			Expedited	Intimate Melody 10 Pcs/Pack Velvet Lining S M Kit Erotic Lady Toys Night Sex Fetish Couples Tools Set	02-25FM-065CA-110611FBM01	B01N2XMP1Z		0										Montreal	Quebec	H1K 2N6	CA	
702-8355747-4526622		2018-02-27T22:24:12+00:00	2018-02-27T22:54:50+00:00	Pending	Merchant	Amazon.ca			Standard	Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator	02-23CA-011-010617FBM001C	B06XDFX574	Unshipped	1	CAD	39.99		0.0		0.0				Ottawa	Ontario	K1K1M8	CA	
701-0187477-7173017	701-0187477-7173017	2018-02-27T18:39:28+00:00	2018-03-01T08:27:36+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Intimate Melody Kegel Exercise Weights - Ben Wa Ball Weights, Bladder Control & Pelvic Floor Exercises with Medical Silicone for Women	02-25CA-011-011200FBA05	B06XD7YNWJ	Shipped	1	CAD	13.99								Coquitlam	BC	V3J 4H6	CA	
701-7682917-5425000	701-7682917-5425000	2018-02-27T05:02:27+00:00	2018-03-01T00:07:03+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Intimate Melody Kegel Exercise Weights - Ben Wa Ball Weights, Bladder Control & Pelvic Floor Exercises with Medical Silicone for Women	02-25CA-011-011200FBA05	B06XD7YNWJ	Shipped	1	CAD	13.99								Toronto	Ontario	M9A 1S8	CA	
701-1087729-1067464		2018-02-27T04:22:31+00:00	2018-02-27T04:32:36+00:00	Cancelled	Merchant	Amazon.ca			Expedited	Intimate Melody 10 Pcs/Pack Velvet Lining S M Kit Erotic Lady Toys Night Sex Fetish Couples Tools Set	02-25FM-065CA-110611FBM01	B01N2XMP1Z		0										Montreal	Quebec	H1K 2N6	CA	
701-2633188-0724235		2018-02-27T01:05:41+00:00	2018-02-27T01:15:46+00:00	Cancelled	Merchant	Amazon.ca			Expedited	Intimate Melody 10 Pcs/Pack Velvet Lining S M Kit Erotic Lady Toys Night Sex Fetish Couples Tools Set	02-25FM-065CA-110611FBM01	B01N2XMP1Z		0										Montreal	Quebec	H1K 2N6	CA	
701-9077992-8232206		2018-02-26T23:37:04+00:00	2018-02-26T23:47:32+00:00	Cancelled	Merchant	Amazon.ca			Expedited	Intimate Melody 10 Pcs/Pack Velvet Lining S M Kit Erotic Lady Toys Night Sex Fetish Couples Tools Set	02-25FM-065CA-110611FBM01	B01N2XMP1Z		0										Montreal	Quebec	H1K 2N6	CA	
701-7354265-8408260	701-7354265-8408260	2018-02-26T13:28:20+00:00	2018-02-27T21:35:29+00:00	Shipped	Amazon	Amazon.ca			Standard	Intimate Melody?NINA Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises	02-24CA-011-010628FBA01	B0794NWY31	Shipped	1	CAD	20.99		3.93					3.93	Toronto	Ontario	M2M 4M7	CA	CA Core Free Shipping 2016/03/16 6-42-44-87
701-6953847-3361852	701-6953847-3361852	2018-02-25T15:06:35+00:00	2018-02-26T02:59:13+00:00	Shipped	Amazon	Amazon.ca			Standard	Intimate Melody Kegel Exercise Weights - Ben Wa Ball Weights, Bladder Control & Pelvic Floor Exercises with Medical Silicone for Women	02-25CA-011-011200FBA05	B06XD7YNWJ	Shipped	1	CAD	13.99		2.74					2.74	Gonor	Manitoba	R1C 0B9	CA	CA Core Free Shipping 2016/03/16 6-42-44-87
